@RELATION scientific

@ATTRIBUTE tokencount NUMERIC
@ATTRIBUTE nouncount NUMERIC
@ATTRIBUTE nounrate NUMERIC
@ATTRIBUTE adjectivecount NUMERIC
@ATTRIBUTE adjectiverate NUMERIC
@ATTRIBUTE adverbcount NUMERIC
@ATTRIBUTE adverbrate NUMERIC
@ATTRIBUTE verbcount NUMERIC
@ATTRIBUTE verbrate NUMERIC
@ATTRIBUTE numbercount NUMERIC
@ATTRIBUTE numberrate NUMERIC
@ATTRIBUTE symbolcount NUMERIC
@ATTRIBUTE symbolrate NUMERIC
@ATTRIBUTE foreignwordcount NUMERIC
@ATTRIBUTE foreignwordrate NUMERIC
@ATTRIBUTE sentencecount NUMERIC
@ATTRIBUTE paragraphcount NUMERIC
@ATTRIBUTE tokenpersentence NUMERIC
@ATTRIBUTE scientific {yes,no}

@DATA
2314	,1192	,51.51	,264	,11.41	,41	,1.77	,250	,10.80	,264	,11.41	,0	,.00	,0	,.00	,189	,0	,8.17	,yes
4616	,2004	,43.41	,591	,12.80	,99	,2.14	,482	,10.44	,591	,12.80	,6	,.13	,6	,.13	,521	,0	,11.29	,yes
5477	,2474	,45.17	,653	,11.92	,153	,2.79	,731	,13.35	,653	,11.92	,2	,.04	,2	,.04	,336	,0	,6.13	,yes
5085	,2386	,46.92	,421	,8.28	,77	,1.51	,639	,12.57	,421	,8.28	,30	,.59	,30	,.59	,336	,0	,6.61	,yes
3521	,1641	,46.61	,339	,9.63	,51	,1.45	,399	,11.33	,339	,9.63	,25	,.71	,25	,.71	,275	,0	,7.81	,yes
2211	,1158	,52.37	,202	,9.14	,28	,1.27	,265	,11.99	,202	,9.14	,1	,.05	,1	,.05	,137	,0	,6.20	,yes
869	,453	,52.13	,85	,9.78	,14	,1.61	,117	,13.46	,85	,9.78	,0	,.00	,0	,.00	,67	,0	,7.71	,yes
8022	,3538	,44.10	,871	,10.86	,109	,1.36	,786	,9.80	,871	,10.86	,109	,1.36	,109	,1.36	,459	,0	,5.72	,yes
8743	,4046	,46.28	,829	,9.48	,191	,2.18	,1002	,11.46	,829	,9.48	,41	,.47	,41	,.47	,653	,0	,7.47	,yes
3103	,1520	,48.98	,297	,9.57	,42	,1.35	,433	,13.95	,297	,9.57	,7	,.23	,7	,.23	,211	,0	,6.80	,yes
4733	,2222	,46.95	,560	,11.83	,128	,2.70	,579	,12.23	,560	,11.83	,5	,.11	,5	,.11	,320	,0	,6.76	,yes
845	,399	,47.22	,84	,9.94	,8	,.95	,118	,13.96	,84	,9.94	,2	,.24	,2	,.24	,53	,0	,6.27	,yes
1984	,1082	,54.54	,176	,8.87	,32	,1.61	,253	,12.75	,176	,8.87	,9	,.45	,9	,.45	,128	,0	,6.45	,yes
16548	,7727	,46.69	,1372	,8.29	,197	,1.19	,1663	,10.05	,1372	,8.29	,16	,.10	,16	,.10	,1067	,0	,6.45	,yes
421	,144	,34.20	,26	,6.18	,8	,1.90	,34	,8.08	,26	,6.18	,116	,27.55	,116	,27.55	,31	,0	,7.36	,no
3998	,1431	,35.79	,341	,8.53	,201	,5.03	,713	,17.83	,341	,8.53	,1	,.03	,1	,.03	,510	,0	,12.76	,no
2559	,1163	,45.45	,292	,11.41	,46	,1.80	,360	,14.07	,292	,11.41	,1	,.04	,1	,.04	,136	,0	,5.31	,no
2475	,1257	,50.79	,221	,8.93	,70	,2.83	,411	,16.61	,221	,8.93	,0	,.00	,0	,.00	,154	,0	,6.22	,no
5225	,2609	,49.93	,471	,9.01	,104	,1.99	,821	,15.71	,471	,9.01	,0	,.00	,0	,.00	,329	,0	,6.30	,no
9178	,3547	,38.65	,887	,9.66	,416	,4.53	,1892	,20.61	,887	,9.66	,0	,.00	,0	,.00	,1088	,0	,11.85	,no
5811	,2619	,45.07	,699	,12.03	,110	,1.89	,707	,12.17	,699	,12.03	,48	,.83	,48	,.83	,271	,0	,4.66	,no
4747	,1065	,22.44	,228	,4.80	,280	,5.90	,741	,15.61	,228	,4.80	,11	,.23	,11	,.23	,713	,0	,15.02	,no
11941	,4401	,36.86	,700	,5.86	,562	,4.71	,2567	,21.50	,700	,5.86	,0	,.00	,0	,.00	,1600	,0	,13.40	,no
3346	,1189	,35.53	,279	,8.34	,179	,5.35	,657	,19.64	,279	,8.34	,3	,.09	,3	,.09	,265	,0	,7.92	,no
6607	,2255	,34.13	,626	,9.47	,316	,4.78	,1458	,22.07	,626	,9.47	,0	,.00	,0	,.00	,805	,0	,12.18	,no
9706	,4189	,43.16	,1088	,11.21	,396	,4.08	,1347	,13.88	,1088	,11.21	,15	,.15	,15	,.15	,578	,0	,5.96	,no
7110	,3649	,51.32	,882	,12.41	,172	,2.42	,702	,9.87	,882	,12.41	,0	,.00	,0	,.00	,495	,0	,6.96	,no
918	,489	,53.27	,82	,8.93	,17	,1.85	,119	,12.96	,82	,8.93	,0	,.00	,0	,.00	,98	,0	,10.68	,no
4124	,2087	,50.61	,355	,8.61	,77	,1.87	,684	,16.59	,355	,8.61	,0	,.00	,0	,.00	,271	,0	,6.57	,no
2619	,1029	,39.29	,193	,7.37	,125	,4.77	,466	,17.79	,193	,7.37	,1	,.04	,1	,.04	,248	,0	,9.47	,no
13079	,6060	,46.33	,689	,5.27	,458	,3.50	,2074	,15.86	,689	,5.27	,260	,1.99	,260	,1.99	,1240	,0	,9.48	,no
5580	,2612	,46.81	,826	,14.80	,184	,3.30	,709	,12.71	,826	,14.80	,0	,.00	,0	,.00	,398	,0	,7.13	,no
922	,302	,32.75	,101	,10.95	,91	,9.87	,292	,31.67	,101	,10.95	,0	,.00	,0	,.00	,1	,0	,.11	,no
10641	,5223	,49.08	,689	,6.47	,304	,2.86	,1190	,11.18	,689	,6.47	,13	,.12	,13	,.12	,1075	,0	,10.10	,no
